ieta_,iphi_,iz_,coeff_
-85,1,0,1.01350
-85,2,0,0.99329
-85,3,0,1.01008
-85,4,0,1.02611
-85,5,0,0.97741
-85,6,0,1.00973
-85,7,0,1.06088
-85,8,0,0.92392
-85,9,0,1.00480
-85,10,0,1.01656
-85,11,0,1.04667
-85,12,0,1.03971
-85,13,0,1.03061
-85,14,0,1.06875
-85,15,0,1.07261
-85,16,0,1.03500
-85,17,0,1.03011
-85,18,0,1.02525
-85,19,0,0.99150
-85,20,0,1.05975
-85,21,0,1.04510
-85,22,0,0.93883
-85,23,0,0.97054
-85,24,0,1.04551
-85,25,0,0.95966
-85,26,0,0.96313
-85,27,0,0.92568
-85,28,0,0.95354
-85,29,0,0.84500
-85,30,0,0.94146
-85,31,0,0.94691
-85,32,0,0.85870
-85,33,0,0.89765
-85,34,0,0.82323
-85,35,0,0.86106
-85,36,0,0.89038
-85,37,0,0.94328
-85,38,0,0.86277
-85,39,0,0.90832
-85,40,0,0.92088
-85,41,0,1.39915
-85,42,0,0.82801
-85,43,0,1.16814
-85,44,0,1.12128
-85,45,0,0.99821
-85,46,0,0.93317
-85,47,0,0.88123
-85,48,0,0.87460
-85,49,0,0.83687
-85,50,0,0.88955
-85,51,0,0.87703
-85,52,0,0.87035
-85,53,0,0.92681
-85,54,0,0.95899
-85,55,0,0.86585
-85,56,0,0.83225
-85,57,0,1.00694
-85,58,0,0.90510
-85,59,0,0.87930
-85,60,0,0.87322
-85,61,0,1.04503
-85,62,0,1.05106
-85,63,0,0.98700
-85,64,0,1.00805
-85,65,0,0.80820
-85,66,0,0.88402
-85,67,0,0.90798
-85,68,0,0.89755
-85,69,0,0.93632
-85,70,0,0.98038
-85,71,0,0.86140
-85,72,0,0.94270
-85,73,0,0.79949
-85,74,0,0.95765
-85,75,0,0.85062
-85,76,0,0.87046
-85,77,0,0.80148
-85,78,0,1.00890
-85,79,0,0.96850
-85,80,0,1.02286
-85,81,0,0.90026
-85,82,0,0.88396
-85,83,0,0.93197
-85,84,0,0.84575
-85,85,0,0.96061
-85,86,0,0.87521
-85,87,0,0.98422
-85,88,0,0.94704
-85,89,0,0.98280
-85,90,0,0.94415
-85,91,0,1.00844
-85,92,0,0.94212
-85,93,0,0.93384
-85,94,0,0.84319
-85,95,0,1.06774
-85,96,0,0.95083
-85,97,0,0.94645
-85,98,0,1.02576
-85,99,0,0.97600
-85,100,0,0.90577
-85,101,0,0.94744
-85,102,0,0.82952
-85,103,0,0.91726
-85,104,0,0.85754
-85,105,0,0.87357
-85,106,0,0.95061
-85,107,0,0.88252
-85,108,0,0.91222
-85,109,0,0.86443
-85,110,0,0.88342
-85,111,0,0.89992
-85,112,0,0.89408
-85,113,0,0.92596
-85,114,0,1.01673
-85,115,0,0.96905
-85,116,0,0.99701
-85,117,0,0.97694
-85,118,0,0.89698
-85,119,0,0.92410
-85,120,0,1.01664
-85,121,0,1.08099
-85,122,0,1.16105
-85,123,0,1.13668
-85,124,0,1.11912
-85,125,0,1.18804
-85,126,0,1.12702
-85,127,0,1.15722
-85,128,0,1.13855
-85,129,0,1.09025
-85,130,0,1.07665
-85,131,0,1.01278
-85,132,0,0.95978
-85,133,0,1.05422
-85,134,0,1.04227
-85,135,0,0.96425
-85,136,0,0.93044
-85,137,0,1.09307
-85,138,0,0.93870
-85,139,0,1.09641
-85,140,0,0.93783
-85,141,0,1.19101
-85,142,0,1.01967
-85,143,0,0.94826
-85,144,0,1.04866
-85,145,0,0.98907
-85,146,0,1.11766
-85,147,0,1.20559
-85,148,0,1.21629
-85,149,0,1.10478
-85,150,0,1.09831
-85,151,0,1.04038
-85,152,0,1.04531
-85,153,0,1.12702
-85,154,0,1.11790
-85,155,0,1.06892
-85,156,0,1.05800
-85,157,0,1.07287
-85,158,0,1.08915
-85,159,0,1.16265
-85,160,0,1.03239
-85,161,0,1.16190
-85,162,0,1.23375
-85,163,0,1.26571
-85,164,0,1.00609
-85,165,0,1.30492
-85,166,0,1.11103
-85,167,0,1.08152
-85,168,0,1.10163
-85,169,0,1.17862
-85,170,0,1.28288
-85,171,0,1.22462
-85,172,0,0.98406
-85,173,0,1.15898
-85,174,0,1.15964
-85,175,0,1.17408
-85,176,0,1.22715
-85,177,0,1.12083
-85,178,0,1.10697
-85,179,0,1.07397
-85,180,0,1.06352
-85,181,0,1.28922
-85,182,0,1.26703
-85,183,0,1.20631
-85,184,0,1.21771
-85,185,0,1.32689
-85,186,0,1.20372
-85,187,0,0.98843
-85,188,0,1.30488
-85,189,0,1.30349
-85,190,0,0.98433
-85,191,0,1.00690
-85,192,0,1.00690
-85,193,0,1.00690
-85,194,0,1.00690
-85,195,0,1.00690
-85,196,0,1.03695
-85,197,0,1.26291
-85,198,0,1.07294
-85,199,0,1.34658
-85,200,0,1.17952
-85,201,0,0.84500
-85,202,0,0.87791
-85,203,0,0.98535
-85,204,0,0.83684
-85,205,0,0.83454
-85,206,0,1.10272
-85,207,0,0.86938
-85,208,0,0.85457
-85,209,0,0.89778
-85,210,0,0.96642
-85,211,0,0.97959
-85,212,0,0.98659
-85,213,0,0.75118
-85,214,0,0.79390
-85,215,0,0.77727
-85,216,0,0.80961
-85,217,0,0.78822
-85,218,0,0.87431
-85,219,0,0.98466
-85,220,0,0.83886
-85,221,0,1.11881
-85,222,0,1.02600
-85,223,0,1.06439
-85,224,0,0.89040
-85,225,0,0.94512
-85,226,0,0.88695
-85,227,0,1.01183
-85,228,0,0.86707
-85,229,0,0.98505
-85,230,0,0.95429
-85,231,0,0.96482
-85,232,0,1.02951
-85,233,0,1.03225
-85,234,0,1.08598
-85,235,0,0.92665
-85,236,0,0.95615
-85,237,0,0.95683
-85,238,0,1.02581
-85,239,0,0.86857
-85,240,0,0.97879
-85,241,0,0.98494
-85,242,0,1.08807
-85,243,0,0.93380
-85,244,0,0.90734
-85,245,0,1.01660
-85,246,0,1.53312
-85,247,0,0.88516
-85,248,0,0.96511
-85,249,0,1.13262
-85,250,0,1.39082
-85,251,0,1.00477
-85,252,0,1.00413
-85,253,0,1.00632
-85,254,0,1.06574
-85,255,0,0.84990
-85,256,0,0.82132
-85,257,0,0.88069
-85,258,0,0.96878
-85,259,0,1.03001
-85,260,0,1.18208
-85,261,0,0.76548
-85,262,0,0.74075
-85,263,0,0.84871
-85,264,0,0.71104
-85,265,0,0.76199
-85,266,0,0.73639
-85,267,0,0.74784
-85,268,0,0.84784
-85,269,0,0.81894
-85,270,0,0.76494
-85,271,0,0.78418
-85,272,0,0.92975
-85,273,0,0.83758
-85,274,0,0.77827
-85,275,0,0.81637
-85,276,0,1.02384
-85,277,0,1.01796
-85,278,0,1.02021
-85,279,0,1.06705
-85,280,0,0.97639
-85,281,0,0.95216
-85,282,0,0.85502
-85,283,0,0.91918
-85,284,0,1.02320
-85,285,0,1.01099
-85,286,0,0.92322
-85,287,0,0.91566
-85,288,0,0.97587
-85,289,0,0.98068
-85,290,0,1.01759
-85,291,0,0.80362
-85,292,0,0.93118
-85,293,0,0.78580
-85,294,0,0.96419
-85,295,0,0.84855
-85,296,0,0.75837
-85,297,0,0.82094
-85,298,0,0.97830
-85,299,0,0.81598
-85,300,0,0.86665
-85,301,0,1.26314
-85,302,0,1.55476
-85,303,0,1.26656
-85,304,0,1.42465
-85,305,0,1.32625
-85,306,0,1.35907
-85,307,0,1.26012
-85,308,0,1.22716
-85,309,0,1.22750
-85,310,0,1.23104
-85,311,0,1.19156
-85,312,0,1.23635
-85,313,0,1.13816
-85,314,0,1.15225
-85,315,0,1.10533
-85,316,0,1.34160
-85,317,0,1.20300
-85,318,0,1.11898
-85,319,0,1.25879
-85,320,0,1.20054
-85,321,0,1.13512
-85,322,0,1.30169
-85,323,0,0.97266
-85,324,0,1.06401
-85,325,0,1.04957
-85,326,0,1.08145
-85,327,0,1.11293
-85,328,0,1.05653
-85,329,0,1.20771
-85,330,0,1.02352
-85,331,0,1.10107
-85,332,0,1.05961
-85,333,0,1.16087
-85,334,0,1.07766
-85,335,0,0.97826
-85,336,0,1.13083
-85,337,0,1.09272
-85,338,0,1.06674
-85,339,0,1.03519
-85,340,0,1.33164
-85,341,0,0.83204
-85,342,0,0.93240
-85,343,0,0.97188
-85,344,0,0.89648
-85,345,0,0.81864
-85,346,0,0.86444
-85,347,0,0.92828
-85,348,0,0.90530
-85,349,0,0.87554
-85,350,0,0.91049
-85,351,0,0.89010
-85,352,0,0.94245
-85,353,0,0.92955
-85,354,0,1.05842
-85,355,0,0.89609
-85,356,0,0.92917
-85,357,0,0.92379
-85,358,0,0.88152
-85,359,0,0.97581
-85,360,0,0.90785
-84,1,0,1.00511
-84,2,0,1.00553
-84,3,0,1.02937
-84,4,0,0.91654
-84,5,0,0.97051
-84,6,0,1.00627
-84,7,0,0.94094
-84,8,0,0.92206
-84,9,0,1.01252
-84,10,0,1.02142
-84,11,0,0.95942
-84,12,0,0.97743
-84,13,0,0.96516
-84,14,0,0.99672
-84,15,0,1.00112
-84,16,0,1.00659
-84,17,0,1.06422
-84,18,0,1.00343
-84,19,0,0.96707
-84,20,0,1.00912
-84,21,0,0.99636
-84,22,0,1.02489
-84,23,0,0.90716
-84,24,0,0.94932
-84,25,0,0.97325
-84,26,0,0.96398
-84,27,0,0.92836
-84,28,0,0.96255
-84,29,0,0.83745
-84,30,0,0.99414
-84,31,0,0.87585
-84,32,0,0.90376
-84,33,0,0.93229
-84,34,0,0.93318
-84,35,0,0.90535
-84,36,0,0.86417
-84,37,0,0.91323
-84,38,0,0.92877
-84,39,0,0.90919
-84,40,0,0.91797
-84,41,0,1.19035
-84,42,0,1.02719
-84,43,0,1.36362
-84,44,0,0.96929
-84,45,0,1.08232
-84,46,0,0.93632
-84,47,0,0.94141
-84,48,0,0.99877
-84,49,0,0.85542
-84,50,0,0.83473
-84,51,0,0.86556
-84,52,0,0.91619
-84,53,0,0.82671
-84,54,0,0.88233
-84,55,0,0.99524
-84,56,0,0.89859
-84,57,0,0.98809
-84,58,0,0.84933
-84,59,0,0.94280
-84,60,0,0.86741
-84,61,0,0.97672
-84,62,0,1.04726
-84,63,0,0.98570
-84,64,0,1.02946
-84,65,0,0.79960
-84,66,0,0.85640
-84,67,0,0.88926
-84,68,0,0.92522
-84,69,0,0.86671
-84,70,0,1.02598
-84,71,0,0.81420
-84,72,0,0.82034
-84,73,0,0.93259
-84,74,0,0.86286
-84,75,0,0.88970
-84,76,0,0.83671
-84,77,0,0.88425
-84,78,0,0.92870
-84,79,0,0.82254
-84,80,0,0.79146
-84,81,0,0.87913
-84,82,0,0.92165
-84,83,0,0.92099
-84,84,0,0.98301
-84,85,0,1.01360
-84,86,0,0.86702
-84,87,0,0.95294
-84,88,0,0.91396
-84,89,0,0.99808
-84,90,0,1.02580
-84,91,0,1.05314
-84,92,0,0.96426
-84,93,0,1.02070
-84,94,0,0.81496
-84,95,0,0.90756
-84,96,0,0.98800
-84,97,0,0.96993
-84,98,0,0.85359
-84,99,0,0.88618
-84,100,0,0.89323
-84,101,0,0.91201
-84,102,0,0.79289
-84,103,0,0.88159
-84,104,0,0.86499
-84,105,0,0.90232
-84,106,0,0.93714
-84,107,0,0.90676
-84,108,0,0.87555
-84,109,0,0.83142
-84,110,0,0.93383
-84,111,0,0.86208
-84,112,0,0.84548
-84,113,0,0.88108
-84,114,0,0.90183
-84,115,0,0.87622
-84,116,0,0.92210
-84,117,0,0.83826
-84,118,0,0.85611
-84,119,0,0.75806
-84,120,0,0.99909
-84,121,0,1.20835
-84,122,0,1.09464
-84,123,0,0.93993
-84,124,0,1.09717
-84,125,0,1.11932
-84,126,0,1.08938
-84,127,0,1.03649
-84,128,0,1.23000
-84,129,0,1.20329
-84,130,0,1.15021
-84,131,0,0.96851
-84,132,0,0.92990
-84,133,0,0.97815
-84,134,0,0.99137
-84,135,0,0.97765
-84,136,0,1.00881
-84,137,0,1.01225
-84,138,0,1.08778
-84,139,0,1.08150
-84,140,0,0.99318
-84,141,0,0.98087
-84,142,0,1.02210
-84,143,0,1.11469
-84,144,0,1.06715
-84,145,0,1.05966
-84,146,0,1.19148
-84,147,0,1.09816
-84,148,0,1.06918
-84,149,0,1.04362
-84,150,0,1.06716
-84,151,0,1.10701
-84,152,0,1.09273
-84,153,0,1.16643
-84,154,0,1.03377
-84,155,0,1.03665
-84,156,0,1.01373
-84,157,0,1.21672
-84,158,0,1.03703
-84,159,0,1.03718
-84,160,0,1.15576
-84,161,0,1.17127
-84,162,0,1.13013
-84,163,0,1.24359
-84,164,0,0.99156
-84,165,0,1.06443
-84,166,0,1.06962
-84,167,0,1.08594
-84,168,0,2.08566
-84,169,0,0.95659
-84,170,0,1.13612
-84,171,0,1.09366
-84,172,0,1.07705
-84,173,0,1.12468
-84,174,0,1.21618
-84,175,0,1.11700
-84,176,0,1.26081
-84,177,0,1.06094
-84,178,0,1.07958
-84,179,0,1.11497
-84,180,0,1.02825
-84,181,0,1.25243
-84,182,0,1.17376
-84,183,0,1.10894
-84,184,0,1.29692
-84,185,0,1.15280
-84,186,0,1.41373
-84,187,0,1.29281
-84,188,0,1.15227
-84,189,0,1.25113
-84,190,0,1.29411
-84,191,0,0.99937
-84,192,0,0.99937
-84,193,0,0.99937
-84,194,0,0.99937
-84,195,0,0.99937
-84,196,0,1.24080
-84,197,0,1.13480
-84,198,0,1.40426
-84,199,0,1.20239
-84,200,0,1.43687
-84,201,0,0.79242
-84,202,0,0.97142
-84,203,0,0.95660
-84,204,0,0.91167
-84,205,0,0.90742
-84,206,0,0.80227
-84,207,0,0.91937
-84,208,0,0.82120
-84,209,0,0.86778
-84,210,0,0.83867
-84,211,0,0.82188
-84,212,0,0.80551
-84,213,0,0.78902
-84,214,0,0.77615
-84,215,0,0.78335
-84,216,0,0.82427
-84,217,0,0.83130
-84,218,0,0.85881
-84,219,0,0.76109
-84,220,0,0.97120
-84,221,0,0.94360
-84,222,0,0.95623
-84,223,0,0.91536
-84,224,0,0.93652
-84,225,0,0.91682
-84,226,0,0.85550
-84,227,0,0.94476
-84,228,0,0.85550
-84,229,0,1.01287
-84,230,0,1.01220
-84,231,0,0.97506
-84,232,0,1.06432
-84,233,0,1.00505
-84,234,0,1.03628
-84,235,0,1.04073
-84,236,0,0.85322
-84,237,0,0.90621
-84,238,0,1.01025
-84,239,0,1.08284
-84,240,0,0.99159
-84,241,0,1.04056
-84,242,0,0.90437
-84,243,0,1.03223
-84,244,0,1.15554
-84,245,0,0.83349
-84,246,0,1.31060
-84,247,0,1.06240
-84,248,0,1.16663
-84,249,0,1.17215
-84,250,0,1.24200
-84,251,0,0.92497
-84,252,0,0.88997
-84,253,0,0.91904
-84,254,0,0.87110
-84,255,0,0.95944
-84,256,0,1.01882
-84,257,0,0.95647
-84,258,0,0.95742
-84,259,0,0.86721
-84,260,0,1.04493
-84,261,0,0.82986
-84,262,0,0.76894
-84,263,0,0.74375
-84,264,0,0.69822
-84,265,0,0.73945
-84,266,0,0.74598
-84,267,0,0.75084
-84,268,0,0.83765
-84,269,0,0.73057
-84,270,0,0.80090
-84,271,0,0.75415
-84,272,0,0.90303
-84,273,0,0.77061
-84,274,0,0.85151
-84,275,0,0.75253
-84,276,0,0.79199
