ieta_,iphi_,iz_,coeff_
-85,1,0,1.01480
-85,2,0,0.99456
-85,3,0,1.01137
-85,4,0,1.02743
-85,5,0,0.97867
-85,6,0,1.01102
-85,7,0,1.06225
-85,8,0,0.92510
-85,9,0,1.00609
-85,10,0,1.01787
-85,11,0,1.05291
-85,12,0,1.04590
-85,13,0,1.03675
-85,14,0,1.07512
-85,15,0,1.07900
-85,16,0,1.04117
-85,17,0,1.03625
-85,18,0,1.03135
-85,19,0,0.99740
-85,20,0,1.06607
-85,21,0,1.05144
-85,22,0,0.94453
-85,23,0,0.97643
-85,24,0,1.05186
-85,25,0,0.96549
-85,26,0,0.96898
-85,27,0,0.93131
-85,28,0,0.95933
-85,29,0,0.85013
-85,30,0,0.94718
-85,31,0,0.94441
-85,32,0,0.85644
-85,33,0,0.89528
-85,34,0,0.82106
-85,35,0,0.85879
-85,36,0,0.88804
-85,37,0,0.94080
-85,38,0,0.86050
-85,39,0,0.90592
-85,40,0,0.91845
-85,41,0,1.41117
-85,42,0,0.83512
-85,43,0,1.17818
-85,44,0,1.13091
-85,45,0,1.00679
-85,46,0,0.94119
-85,47,0,0.88880
-85,48,0,0.88211
-85,49,0,0.84406
-85,50,0,0.89720
-85,51,0,0.87685
-85,52,0,0.87016
-85,53,0,0.92662
-85,54,0,0.95879
-85,55,0,0.86567
-85,56,0,0.83208
-85,57,0,1.00673
-85,58,0,0.90492
-85,59,0,0.87911
-85,60,0,0.87304
-85,61,0,1.04807
-85,62,0,1.05411
-85,63,0,0.98987
-85,64,0,1.01098
-85,65,0,0.81055
-85,66,0,0.88660
-85,67,0,0.91062
-85,68,0,0.90016
-85,69,0,0.93904
-85,70,0,0.98324
-85,71,0,0.85859
-85,72,0,0.93963
-85,73,0,0.79690
-85,74,0,0.95454
-85,75,0,0.84786
-85,76,0,0.86763
-85,77,0,0.79887
-85,78,0,1.00562
-85,79,0,0.96535
-85,80,0,1.01953
-85,81,0,0.90343
-85,82,0,0.88707
-85,83,0,0.93524
-85,84,0,0.84872
-85,85,0,0.96399
-85,86,0,0.87829
-85,87,0,0.98768
-85,88,0,0.95037
-85,89,0,0.98626
-85,90,0,0.94747
-85,91,0,1.00704
-85,92,0,0.94080
-85,93,0,0.93254
-85,94,0,0.84201
-85,95,0,1.06625
-85,96,0,0.94950
-85,97,0,0.94513
-85,98,0,1.02433
-85,99,0,0.97464
-85,100,0,0.90451
-85,101,0,0.94694
-85,102,0,0.82907
-85,103,0,0.91677
-85,104,0,0.85708
-85,105,0,0.87310
-85,106,0,0.95010
-85,107,0,0.88205
-85,108,0,0.91173
-85,109,0,0.86397
-85,110,0,0.88295
-85,111,0,0.90079
-85,112,0,0.89494
-85,113,0,0.92685
-85,114,0,1.01771
-85,115,0,0.96998
-85,116,0,0.99797
-85,117,0,0.97788
-85,118,0,0.89784
-85,119,0,0.92499
-85,120,0,1.01762
-85,121,0,1.08589
-85,122,0,1.16632
-85,123,0,1.14183
-85,124,0,1.12419
-85,125,0,1.19343
-85,126,0,1.13213
-85,127,0,1.16246
-85,128,0,1.14372
-85,129,0,1.09519
-85,130,0,1.08153
-85,131,0,1.01317
-85,132,0,0.96016
-85,133,0,1.05463
-85,134,0,1.04268
-85,135,0,0.96463
-85,136,0,0.93080
-85,137,0,1.09350
-85,138,0,0.93907
-85,139,0,1.09684
-85,140,0,0.93820
-85,141,0,1.19187
-85,142,0,1.02041
-85,143,0,0.94895
-85,144,0,1.04942
-85,145,0,0.98978
-85,146,0,1.11847
-85,147,0,1.20647
-85,148,0,1.21717
-85,149,0,1.10558
-85,150,0,1.09911
-85,151,0,1.04480
-85,152,0,1.04975
-85,153,0,1.13180
-85,154,0,1.12264
-85,155,0,1.07346
-85,156,0,1.06249
-85,157,0,1.07743
-85,158,0,1.09378
-85,159,0,1.16759
-85,160,0,1.03677
-85,161,0,1.16139
-85,162,0,1.23321
-85,163,0,1.26516
-85,164,0,1.00565
-85,165,0,1.30435
-85,166,0,1.11054
-85,167,0,1.08104
-85,168,0,1.10114
-85,169,0,1.17810
-85,170,0,1.28232
-85,171,0,1.22929
-85,172,0,0.98782
-85,173,0,1.16341
-85,174,0,1.16406
-85,175,0,1.17857
-85,176,0,1.23184
-85,177,0,1.12511
-85,178,0,1.11120
-85,179,0,1.07807
-85,180,0,1.06758
-85,181,0,1.30146
-85,182,0,1.27906
-85,183,0,1.21777
-85,184,0,1.22927
-85,185,0,1.33950
-85,186,0,1.21516
-85,187,0,0.99782
-85,188,0,1.31727
-85,189,0,1.31587
-85,190,0,0.99368
-85,191,0,1.01335
-85,192,0,1.01335
-85,193,0,1.01335
-85,194,0,1.01335
-85,195,0,1.01335
-85,196,0,1.04359
-85,197,0,1.27101
-85,198,0,1.07981
-85,199,0,1.35521
-85,200,0,1.18708
-85,201,0,0.84393
-85,202,0,0.87679
-85,203,0,0.98410
-85,204,0,0.83578
-85,205,0,0.83348
-85,206,0,1.10132
-85,207,0,0.86828
-85,208,0,0.85349
-85,209,0,0.89664
-85,210,0,0.96519
-85,211,0,0.97976
-85,212,0,0.98677
-85,213,0,0.75131
-85,214,0,0.79404
-85,215,0,0.77741
-85,216,0,0.80976
-85,217,0,0.78836
-85,218,0,0.87446
-85,219,0,0.98484
-85,220,0,0.83901
-85,221,0,1.12245
-85,222,0,1.02933
-85,223,0,1.06785
-85,224,0,0.89329
-85,225,0,0.94819
-85,226,0,0.88984
-85,227,0,1.01512
-85,228,0,0.86989
-85,229,0,0.98825
-85,230,0,0.95739
-85,231,0,0.96335
-85,232,0,1.02794
-85,233,0,1.03068
-85,234,0,1.08433
-85,235,0,0.92524
-85,236,0,0.95469
-85,237,0,0.95537
-85,238,0,1.02424
-85,239,0,0.86725
-85,240,0,0.97730
-85,241,0,0.98821
-85,242,0,1.09169
-85,243,0,0.93691
-85,244,0,0.91036
-85,245,0,1.01998
-85,246,0,1.53822
-85,247,0,0.88811
-85,248,0,0.96832
-85,249,0,1.13638
-85,250,0,1.39545
-85,251,0,1.00636
-85,252,0,1.00571
-85,253,0,1.00790
-85,254,0,1.06742
-85,255,0,0.85124
-85,256,0,0.82262
-85,257,0,0.88208
-85,258,0,0.97031
-85,259,0,1.03163
-85,260,0,1.18394
-85,261,0,0.77359
-85,262,0,0.74859
-85,263,0,0.85769
-85,264,0,0.71857
-85,265,0,0.77005
-85,266,0,0.74419
-85,267,0,0.75576
-85,268,0,0.85682
-85,269,0,0.82761
-85,270,0,0.77304
-85,271,0,0.79076
-85,272,0,0.93755
-85,273,0,0.84461
-85,274,0,0.78480
-85,275,0,0.82321
-85,276,0,1.03242
-85,277,0,1.02649
-85,278,0,1.02876
-85,279,0,1.07600
-85,280,0,0.98458
-85,281,0,0.95191
-85,282,0,0.85479
-85,283,0,0.91893
-85,284,0,1.02293
-85,285,0,1.01072
-85,286,0,0.92297
-85,287,0,0.91542
-85,288,0,0.97561
-85,289,0,0.98042
-85,290,0,1.01732
-85,291,0,0.80477
-85,292,0,0.93251
-85,293,0,0.78692
-85,294,0,0.96557
-85,295,0,0.84976
-85,296,0,0.75945
-85,297,0,0.82211
-85,298,0,0.97970
-85,299,0,0.81715
-85,300,0,0.86789
-85,301,0,1.26122
-85,302,0,1.55239
-85,303,0,1.26463
-85,304,0,1.42248
-85,305,0,1.32424
-85,306,0,1.35700
-85,307,0,1.25820
-85,308,0,1.22529
-85,309,0,1.22563
-85,310,0,1.22916
-85,311,0,1.20102
-85,312,0,1.24617
-85,313,0,1.14720
-85,314,0,1.16140
-85,315,0,1.11411
-85,316,0,1.35226
-85,317,0,1.21255
-85,318,0,1.12786
-85,319,0,1.26879
-85,320,0,1.21008
-85,321,0,1.13973
-85,322,0,1.30696
-85,323,0,0.97661
-85,324,0,1.06833
-85,325,0,1.05383
-85,326,0,1.08584
