ieta_,iphi_,iz_,coeff_
-85,1,0,1.01076
-85,2,0,0.99060
-85,3,0,1.00734
-85,4,0,1.02334
-85,5,0,0.97477
-85,6,0,1.00699
-85,7,0,1.05801
-85,8,0,0.92142
-85,9,0,1.00208
-85,10,0,1.01381
-85,11,0,1.04302
-85,12,0,1.03608
-85,13,0,1.02701
-85,14,0,1.06502
-85,15,0,1.06887
-85,16,0,1.03139
-85,17,0,1.02651
-85,18,0,1.02167
-85,19,0,0.98804
-85,20,0,1.05605
-85,21,0,1.04057
-85,22,0,0.93476
-85,23,0,0.96634
-85,24,0,1.04099
-85,25,0,0.95551
-85,26,0,0.95896
-85,27,0,0.92168
-85,28,0,0.94941
-85,29,0,0.84134
-85,30,0,0.93739
-85,31,0,0.93942
-85,32,0,0.85191
-85,33,0,0.89055
-85,34,0,0.81673
-85,35,0,0.85425
-85,36,0,0.88334
-85,37,0,0.93583
-85,38,0,0.85595
-85,39,0,0.90114
-85,40,0,0.91360
-85,41,0,1.38834
-85,42,0,0.82161
-85,43,0,1.15912
-85,44,0,1.11262
-85,45,0,0.99050
-85,46,0,0.92596
-85,47,0,0.87442
-85,48,0,0.86784
-85,49,0,0.83040
-85,50,0,0.88268
-85,51,0,0.87964
-85,52,0,0.87293
-85,53,0,0.92957
-85,54,0,0.96184
-85,55,0,0.86843
-85,56,0,0.83472
-85,57,0,1.00994
-85,58,0,0.90780
-85,59,0,0.88191
-85,60,0,0.87582
-85,61,0,1.04052
-85,62,0,1.04652
-85,63,0,0.98274
-85,64,0,1.00369
-85,65,0,0.80471
-85,66,0,0.88021
-85,67,0,0.90406
-85,68,0,0.89367
-85,69,0,0.93227
-85,70,0,0.97615
-85,71,0,0.85936
-85,72,0,0.94047
-85,73,0,0.79761
-85,74,0,0.95539
-85,75,0,0.84862
-85,76,0,0.86841
-85,77,0,0.79959
-85,78,0,1.00651
-85,79,0,0.96622
-85,80,0,1.02044
-85,81,0,0.89551
-85,82,0,0.87929
-85,83,0,0.92704
-85,84,0,0.84128
-85,85,0,0.95553
-85,86,0,0.87059
-85,87,0,0.97902
-85,88,0,0.94203
-85,89,0,0.97760
-85,90,0,0.93916
-85,91,0,0.99865
-85,92,0,0.93297
-85,93,0,0.92477
-85,94,0,0.83500
-85,95,0,1.05737
-85,96,0,0.94159
-85,97,0,0.93726
-85,98,0,1.01580
-85,99,0,0.96652
-85,100,0,0.89698
-85,101,0,0.94423
-85,102,0,0.82670
-85,103,0,0.91415
-85,104,0,0.85463
-85,105,0,0.87060
-85,106,0,0.94738
-85,107,0,0.87953
-85,108,0,0.90912
-85,109,0,0.86149
-85,110,0,0.88043
-85,111,0,0.89713
-85,112,0,0.89131
-85,113,0,0.92308
-85,114,0,1.01358
-85,115,0,0.96604
-85,116,0,0.99392
-85,117,0,0.97391
-85,118,0,0.89419
-85,119,0,0.92124
-85,120,0,1.01349
-85,121,0,1.07472
-85,122,0,1.15432
-85,123,0,1.13009
-85,124,0,1.11262
-85,125,0,1.18115
-85,126,0,1.12048
-85,127,0,1.15050
-85,128,0,1.13195
-85,129,0,1.08392
-85,130,0,1.07040
-85,131,0,1.00717
-85,132,0,0.95447
-85,133,0,1.04838
-85,134,0,1.03650
-85,135,0,0.95891
-85,136,0,0.92529
-85,137,0,1.08702
-85,138,0,0.93351
-85,139,0,1.09034
-85,140,0,0.93264
-85,141,0,1.18343
-85,142,0,1.01318
-85,143,0,0.94223
-85,144,0,1.04199
-85,145,0,0.98278
-85,146,0,1.11055
-85,147,0,1.19793
-85,148,0,1.20856
-85,149,0,1.09776
-85,150,0,1.09133
-85,151,0,1.03437
-85,152,0,1.03927
-85,153,0,1.12051
-85,154,0,1.11144
-85,155,0,1.06275
-85,156,0,1.05189
-85,157,0,1.06667
-85,158,0,1.08286
-85,159,0,1.15593
-85,160,0,1.02642
-85,161,0,1.14888
-85,162,0,1.21992
-85,163,0,1.25152
-85,164,0,0.99482
-85,165,0,1.29030
-85,166,0,1.09858
-85,167,0,1.06939
-85,168,0,1.08928
-85,169,0,1.16541
-85,170,0,1.26850
-85,171,0,1.22003
-85,172,0,0.98037
-85,173,0,1.15464
-85,174,0,1.15529
-85,175,0,1.16968
-85,176,0,1.22255
-85,177,0,1.11663
-85,178,0,1.10282
-85,179,0,1.06995
-85,180,0,1.05953
-85,181,0,1.29600
-85,182,0,1.27370
-85,183,0,1.21266
-85,184,0,1.22412
-85,185,0,1.33388
-85,186,0,1.21006
-85,187,0,0.99364
-85,188,0,1.31175
-85,189,0,1.31035
-85,190,0,0.98951
-85,191,0,1.00633
-85,192,0,1.00633
-85,193,0,1.00633
-85,194,0,1.00633
-85,195,0,1.00633
-85,196,0,1.03636
-85,197,0,1.26221
-85,198,0,1.07233
-85,199,0,1.34582
-85,200,0,1.17885
-85,201,0,0.83790
-85,202,0,0.87053
-85,203,0,0.97707
-85,204,0,0.82981
-85,205,0,0.82752
-85,206,0,1.09345
-85,207,0,0.86208
-85,208,0,0.84739
-85,209,0,0.89024
-85,210,0,0.95830
-85,211,0,0.98141
-85,212,0,0.98842
-85,213,0,0.75257
-85,214,0,0.79537
-85,215,0,0.77872
-85,216,0,0.81112
-85,217,0,0.78968
-85,218,0,0.87593
-85,219,0,0.98649
-85,220,0,0.84042
-85,221,0,1.11998
-85,222,0,1.02707
-85,223,0,1.06549
-85,224,0,0.89132
-85,225,0,0.94610
-85,226,0,0.88788
-85,227,0,1.01288
-85,228,0,0.86797
-85,229,0,0.98607
-85,230,0,0.95528
-85,231,0,0.95518
-85,232,0,1.01923
-85,233,0,1.02194
-85,234,0,1.07513
-85,235,0,0.91739
-85,236,0,0.94659
-85,237,0,0.94727
-85,238,0,1.01556
-85,239,0,0.85989
-85,240,0,0.96901
-85,241,0,0.97732
-85,242,0,1.07965
-85,243,0,0.92658
-85,244,0,0.90032
-85,245,0,1.00874
-85,246,0,1.52126
-85,247,0,0.87831
-85,248,0,0.95765
-85,249,0,1.12385
-85,250,0,1.38006
-85,251,0,1.00264
-85,252,0,1.00199
-85,253,0,1.00418
-85,254,0,1.06348
-85,255,0,0.84809
-85,256,0,0.81958
-85,257,0,0.87882
-85,258,0,0.96672
-85,259,0,1.02782
-85,260,0,1.17957
-85,261,0,0.76993
-85,262,0,0.74505
-85,263,0,0.85364
-85,264,0,0.71517
-85,265,0,0.76641
-85,266,0,0.74067
-85,267,0,0.75218
-85,268,0,0.85277
-85,269,0,0.82370
-85,270,0,0.76938
-85,271,0,0.78284
-85,272,0,0.92815
-85,273,0,0.83614
-85,274,0,0.77694
-85,275,0,0.81496
-85,276,0,1.02208
-85,277,0,1.01621
-85,278,0,1.01846
-85,279,0,1.06522
-85,280,0,0.97471
-85,281,0,0.94483
-85,282,0,0.84844
-85,283,0,0.91210
-85,284,0,1.01532
-85,285,0,1.00321
-85,286,0,0.91611
-85,287,0,0.90861
-85,288,0,0.96836
-85,289,0,0.97313
-85,290,0,1.00976
-85,291,0,0.80537
-85,292,0,0.93321
-85,293,0,0.78751
-85,294,0,0.96629
-85,295,0,0.85040
-85,296,0,0.76002
-85,297,0,0.82273
-85,298,0,0.98043
-85,299,0,0.81776
-85,300,0,0.86854
-85,301,0,1.25775
-85,302,0,1.54812
-85,303,0,1.26116
-85,304,0,1.41857
-85,305,0,1.32059
-85,306,0,1.35327
-85,307,0,1.25474
-85,308,0,1.22192
-85,309,0,1.22226
-85,310,0,1.22578
-85,311,0,1.18131
-85,312,0,1.22572
-85,313,0,1.12837
-85,314,0,1.14234
-85,315,0,1.09583
-85,316,0,1.33006
-85,317,0,1.19265
-85,318,0,1.10935
-85,319,0,1.24797
-85,320,0,1.19022
-85,321,0,1.12702
-85,322,0,1.29239
-85,323,0,0.96571
-85,324,0,1.05642
-85,325,0,1.04208
-85,326,0,1.07373
-85,327,0,1.10498
-85,328,0,1.04898
-85,329,0,1.19909
-85,330,0,1.01621
-85,331,0,1.09247
-85,332,0,1.05133
-85,333,0,1.15180
-85,334,0,1.06924
-85,335,0,0.97062
-85,336,0,1.12199
-85,337,0,1.08418
-85,338,0,1.05841
-85,339,0,1.02710
-85,340,0,1.32123
-85,341,0,0.83217
-85,342,0,0.93254
-85,343,0,0.97203
-85,344,0,0.89662
-85,345,0,0.81876
-85,346,0,0.86457
-85,347,0,0.92842
-85,348,0,0.90544
-85,349,0,0.87567
-85,350,0,0.91063
-85,351,0,0.88664
-85,352,0,0.93878
-85,353,0,0.92594
-85,354,0,1.05430
-85,355,0,0.89260
-85,356,0,0.92556
-85,357,0,0.92020
-85,358,0,0.87809
-85,359,0,0.97202
-85,360,0,0.90433
-84,1,0,1.01384
-84,2,0,1.01426
-84,3,0,1.03830
-84,4,0,0.92449
-84,5,0,0.97894
-84,6,0,1.01501
-84,7,0,0.94911
-84,8,0,0.93006
-84,9,0,1.02130
-84,10,0,1.03029
-84,11,0,0.96700
-84,12,0,0.98515
-84,13,0,0.97277
-84,14,0,1.00459
-84,15,0,1.00902
-84,16,0,1.01454
-84,17,0,1.07262
-84,18,0,1.01134
-84,19,0,0.97470
-84,20,0,1.01708
-84,21,0,1.00337
-84,22,0,1.03210
-84,23,0,0.91354
-84,24,0,0.95600
-84,25,0,0.98010
-84,26,0,0.97077
-84,27,0,0.93489
-84,28,0,0.96932
-84,29,0,0.84335
-84,30,0,1.00114
-84,31,0,0.87885
-84,32,0,0.90685
-84,33,0,0.93547
-84,34,0,0.93637
-84,35,0,0.90844
-84,36,0,0.86713
-84,37,0,0.91636
-84,38,0,0.93194
-84,39,0,0.91230
-84,40,0,0.92111
-84,41,0,1.19464
-84,42,0,1.03090
-84,43,0,1.36854
-84,44,0,0.97279
-84,45,0,1.08623
-84,46,0,0.93970
-84,47,0,0.94480
-84,48,0,1.00237
-84,49,0,0.85851
-84,50,0,0.83774
-84,51,0,0.87805
-84,52,0,0.92941
-84,53,0,0.83864
-84,54,0,0.89506
-84,55,0,1.00960
-84,56,0,0.91156
-84,57,0,1.00235
-84,58,0,0.86159
-84,59,0,0.95640
-84,60,0,0.87993
-84,61,0,0.98360
-84,62,0,1.05465
-84,63,0,0.99265
-84,64,0,1.03672
-84,65,0,0.80524
-84,66,0,0.86243
-84,67,0,0.89553
-84,68,0,0.93175
-84,69,0,0.87282
-84,70,0,1.03321
-84,71,0,0.82155
-84,72,0,0.82775
-84,73,0,0.94101
-84,74,0,0.87065
-84,75,0,0.89773
-84,76,0,0.84426
-84,77,0,0.89223
-84,78,0,0.93708
-84,79,0,0.82997
-84,80,0,0.79861
-84,81,0,0.88448
-84,82,0,0.92725
-84,83,0,0.92658
-84,84,0,0.98898
-84,85,0,1.01975
-84,86,0,0.87229
-84,87,0,0.95873
-84,88,0,0.91951
-84,89,0,1.00414
-84,90,0,1.03203
-84,91,0,1.05483
-84,92,0,0.96581
-84,93,0,1.02234
-84,94,0,0.81627
-84,95,0,0.90901
-84,96,0,0.98959
-84,97,0,0.97148
-84,98,0,0.85496
-84,99,0,0.88760
-84,100,0,0.89467
-84,101,0,0.91930
-84,102,0,0.79923
-84,103,0,0.88863
-84,104,0,0.87190
-84,105,0,0.90953
-84,106,0,0.94462
-84,107,0,0.91401
-84,108,0,0.88255
-84,109,0,0.83806
-84,110,0,0.94130
-84,111,0,0.86923
-84,112,0,0.85249
-84,113,0,0.88839
-84,114,0,0.90931
-84,115,0,0.88348
-84,116,0,0.92975
-84,117,0,0.84521
-84,118,0,0.86321
-84,119,0,0.76435
-84,120,0,1.00738
-84,121,0,1.21506
-84,122,0,1.10071
-84,123,0,0.94515
-84,124,0,1.10325
-84,125,0,1.12553
-84,126,0,1.09542
-84,127,0,1.04224
-84,128,0,1.23682
-84,129,0,1.20997
-84,130,0,1.15660
-84,131,0,0.97415
-84,132,0,0.93532
-84,133,0,0.98385
-84,134,0,0.99714
-84,135,0,0.98335
-84,136,0,1.01469
-84,137,0,1.01815
-84,138,0,1.09411
-84,139,0,1.08780
-84,140,0,0.99897
-84,141,0,0.98574
-84,142,0,1.02718
-84,143,0,1.12023
-84,144,0,1.07246
-84,145,0,1.06493
-84,146,0,1.19740
-84,147,0,1.10362
-84,148,0,1.07449
-84,149,0,1.04881
-84,150,0,1.07247
-84,151,0,1.11317
-84,152,0,1.09882
-84,153,0,1.17292
-84,154,0,1.03953
-84,155,0,1.04243
-84,156,0,1.01937
-84,157,0,1.22349
-84,158,0,1.04281
-84,159,0,1.04296
-84,160,0,1.16219
-84,161,0,1.17136
-84,162,0,1.13023
-84,163,0,1.24369
-84,164,0,0.99164
-84,165,0,1.06452
