ieta_,iphi_,iz_,coeff_
-85,1,0,1.00683
-85,2,0,0.98675
-85,3,0,1.00343
-85,4,0,1.01936
-85,5,0,0.97098
-85,6,0,1.00308
-85,7,0,1.05391
-85,8,0,0.91784
-85,9,0,0.99819
-85,10,0,1.00987
-85,11,0,1.04037
-85,12,0,1.03344
-85,13,0,1.02440
-85,14,0,1.06231
-85,15,0,1.06615
-85,16,0,1.02877
-85,17,0,1.02390
-85,18,0,1.01907
-85,19,0,0.98552
-85,20,0,1.05337
-85,21,0,1.04650
-85,22,0,0.94009
-85,23,0,0.97184
-85,24,0,1.04692
-85,25,0,0.96095
-85,26,0,0.96442
-85,27,0,0.92693
-85,28,0,0.95482
-85,29,0,0.84613
-85,30,0,0.94273
-85,31,0,0.94220
-85,32,0,0.85443
-85,33,0,0.89318
-85,34,0,0.81914
-85,35,0,0.85678
-85,36,0,0.88595
-85,37,0,0.93859
-85,38,0,0.85848
-85,39,0,0.90380
-85,40,0,0.91630
-85,41,0,1.40758
-85,42,0,0.83300
-85,43,0,1.17518
-85,44,0,1.12803
-85,45,0,1.00423
-85,46,0,0.93880
-85,47,0,0.88654
-85,48,0,0.87987
-85,49,0,0.84191
-85,50,0,0.89492
-85,51,0,0.87366
-85,52,0,0.86700
-85,53,0,0.92325
-85,54,0,0.95530
-85,55,0,0.86253
-85,56,0,0.82905
-85,57,0,1.00307
-85,58,0,0.90163
-85,59,0,0.87592
-85,60,0,0.86986
-85,61,0,1.03521
-85,62,0,1.04117
-85,63,0,0.97772
-85,64,0,0.99857
-85,65,0,0.80060
-85,66,0,0.87571
-85,67,0,0.89944
-85,68,0,0.88911
-85,69,0,0.92751
-85,70,0,0.97117
-85,71,0,0.85807
-85,72,0,0.93906
-85,73,0,0.79641
-85,74,0,0.95395
-85,75,0,0.84734
-85,76,0,0.86710
-85,77,0,0.79838
-85,78,0,1.00500
-85,79,0,0.96476
-85,80,0,1.01890
-85,81,0,0.89565
-85,82,0,0.87943
-85,83,0,0.92719
-85,84,0,0.84141
-85,85,0,0.95569
-85,86,0,0.87073
-85,87,0,0.97917
-85,88,0,0.94218
-85,89,0,0.97776
-85,90,0,0.93931
-85,91,0,1.00470
-85,92,0,0.93863
-85,93,0,0.93038
-85,94,0,0.84006
-85,95,0,1.06378
-85,96,0,0.94730
-85,97,0,0.94295
-85,98,0,1.02196
-85,99,0,0.97238
-85,100,0,0.90242
-85,101,0,0.94027
-85,102,0,0.82323
-85,103,0,0.91031
-85,104,0,0.85104
-85,105,0,0.86695
-85,106,0,0.94341
-85,107,0,0.87584
-85,108,0,0.90531
-85,109,0,0.85788
-85,110,0,0.87673
-85,111,0,0.90051
-85,112,0,0.89466
-85,113,0,0.92656
-85,114,0,1.01739
-85,115,0,0.96967
-85,116,0,0.99766
-85,117,0,0.97757
-85,118,0,0.89756
-85,119,0,0.92470
-85,120,0,1.01730
-85,121,0,1.07227
-85,122,0,1.15169
-85,123,0,1.12751
-85,124,0,1.11009
-85,125,0,1.17846
-85,126,0,1.11792
-85,127,0,1.14788
-85,128,0,1.12937
-85,129,0,1.08145
-85,130,0,1.06796
-85,131,0,1.00274
-85,132,0,0.95027
-85,133,0,1.04377
-85,134,0,1.03194
-85,135,0,0.95470
-85,136,0,0.92122
-85,137,0,1.08224
-85,138,0,0.92940
-85,139,0,1.08555
-85,140,0,0.92854
-85,141,0,1.18142
-85,142,0,1.01146
-85,143,0,0.94062
-85,144,0,1.04021
-85,145,0,0.98110
-85,146,0,1.10866
-85,147,0,1.19589
-85,148,0,1.20650
-85,149,0,1.09588
-85,150,0,1.08947
-85,151,0,1.03435
-85,152,0,1.03925
-85,153,0,1.12048
-85,154,0,1.11142
-85,155,0,1.06273
-85,156,0,1.05187
-85,157,0,1.06665
-85,158,0,1.08284
-85,159,0,1.15591
-85,160,0,1.02640
-85,161,0,1.14790
-85,162,0,1.21887
-85,163,0,1.25045
-85,164,0,0.99396
-85,165,0,1.28919
-85,166,0,1.09764
-85,167,0,1.06848
-85,168,0,1.08834
-85,169,0,1.16441
-85,170,0,1.26741
-85,171,0,1.21724
-85,172,0,0.97813
-85,173,0,1.15200
-85,174,0,1.15265
-85,175,0,1.16701
-85,176,0,1.21975
-85,177,0,1.11408
-85,178,0,1.10030
-85,179,0,1.06750
-85,180,0,1.05711
-85,181,0,1.28954
-85,182,0,1.26734
-85,183,0,1.20661
-85,184,0,1.21801
-85,185,0,1.32722
-85,186,0,1.20402
-85,187,0,0.98868
-85,188,0,1.30520
-85,189,0,1.30381
-85,190,0,0.98458
-85,191,0,1.00576
-85,192,0,1.00576
-85,193,0,1.00576
-85,194,0,1.00576
-85,195,0,1.00576
-85,196,0,1.03577
-85,197,0,1.26148
-85,198,0,1.07172
-85,199,0,1.34505
-85,200,0,1.17818
-85,201,0,0.83452
-85,202,0,0.86702
-85,203,0,0.97312
-85,204,0,0.82646
-85,205,0,0.82418
-85,206,0,1.08904
-85,207,0,0.85860
-85,208,0,0.84397
-85,209,0,0.88664
-85,210,0,0.95443
-85,211,0,0.97483
-85,212,0,0.98179
-85,213,0,0.74753
-85,214,0,0.79004
-85,215,0,0.77350
-85,216,0,0.80568
-85,217,0,0.78439
-85,218,0,0.87006
-85,219,0,0.97988
-85,220,0,0.83478
-85,221,0,1.11878
-85,222,0,1.02597
-85,223,0,1.06435
-85,224,0,0.89037
-85,225,0,0.94509
-85,226,0,0.88693
-85,227,0,1.01180
-85,228,0,0.86704
-85,229,0,0.98502
-85,230,0,0.95426
-85,231,0,0.95573
-85,232,0,1.01981
-85,233,0,1.02252
-85,234,0,1.07575
-85,235,0,0.91792
-85,236,0,0.94714
-85,237,0,0.94781
-85,238,0,1.01614
-85,239,0,0.86039
-85,240,0,0.96957
-85,241,0,0.98355
-85,242,0,1.08654
-85,243,0,0.93249
-85,244,0,0.90606
-85,245,0,1.01517
-85,246,0,1.53096
-85,247,0,0.88392
-85,248,0,0.96376
-85,249,0,1.13102
-85,250,0,1.38886
-85,251,0,1.00433
-85,252,0,1.00369
-85,253,0,1.00588
-85,254,0,1.06527
-85,255,0,0.84953
-85,256,0,0.82096
-85,257,0,0.88030
-85,258,0,0.96835
-85,259,0,1.02956
-85,260,0,1.18156
-85,261,0,0.76355
-85,262,0,0.73887
-85,263,0,0.84656
-85,264,0,0.70924
-85,265,0,0.76006
-85,266,0,0.73453
-85,267,0,0.74595
-85,268,0,0.84570
-85,269,0,0.81687
-85,270,0,0.76300
-85,271,0,0.78239
-85,272,0,0.92763
-85,273,0,0.83567
-85,274,0,0.77650
-85,275,0,0.81451
-85,276,0,1.02150
-85,277,0,1.01564
-85,278,0,1.01788
-85,279,0,1.06462
-85,280,0,0.97416
-85,281,0,0.95108
-85,282,0,0.85406
-85,283,0,0.91814
-85,284,0,1.02205
-85,285,0,1.00985
-85,286,0,0.92218
-85,287,0,0.91463
-85,288,0,0.97477
-85,289,0,0.97958
-85,290,0,1.01644
-85,291,0,0.79738
-85,292,0,0.92395
-85,293,0,0.77969
-85,294,0,0.95670
-85,295,0,0.84196
-85,296,0,0.75248
-85,297,0,0.81456
-85,298,0,0.97070
-85,299,0,0.80964
-85,300,0,0.85991
-85,301,0,1.27165
-85,302,0,1.56523
-85,303,0,1.27509
-85,304,0,1.43424
-85,305,0,1.33519
-85,306,0,1.36822
-85,307,0,1.26861
-85,308,0,1.23542
-85,309,0,1.23577
-85,310,0,1.23933
-85,311,0,1.18728
-85,312,0,1.23191
-85,313,0,1.13407
-85,314,0,1.14811
-85,315,0,1.10136
-85,316,0,1.33678
-85,317,0,1.19868
-85,318,0,1.11496
-85,319,0,1.25427
-85,320,0,1.19623
-85,321,0,1.12877
-85,322,0,1.29440
-85,323,0,0.96722
-85,324,0,1.05806
-85,325,0,1.04370
-85,326,0,1.07540
-85,327,0,1.10670
-85,328,0,1.05062
-85,329,0,1.20096
-85,330,0,1.01780
-85,331,0,1.09509
-85,332,0,1.05386
-85,333,0,1.15457
-85,334,0,1.07181
-85,335,0,0.97295
-85,336,0,1.12469
-85,337,0,1.08679
-85,338,0,1.06095
-85,339,0,1.02956
-85,340,0,1.32441
-85,341,0,0.83081
-85,342,0,0.93102
-85,343,0,0.97044
-85,344,0,0.89516
-85,345,0,0.81743
-85,346,0,0.86316
-85,347,0,0.92691
-85,348,0,0.90397
-85,349,0,0.87425
-85,350,0,0.90914
-85,351,0,0.88394
-85,352,0,0.93592
-85,353,0,0.92312
-85,354,0,1.05109
-85,355,0,0.88988
-85,356,0,0.92273
-85,357,0,0.91739
-85,358,0,0.87542
-85,359,0,0.96905
-85,360,0,0.90157
-84,1,0,1.00691
-84,2,0,1.00733
-84,3,0,1.03120
-84,4,0,0.91818
-84,5,0,0.97225
-84,6,0,1.00807
-84,7,0,0.94262
-84,8,0,0.92371
-84,9,0,1.01432
-84,10,0,1.02325
-84,11,0,0.96168
-84,12,0,0.97973
-84,13,0,0.96742
-84,14,0,0.99906
-84,15,0,1.00347
-84,16,0,1.00896
-84,17,0,1.06672
-84,18,0,1.00578
-84,19,0,0.96934
-84,20,0,1.01149
-84,21,0,1.00609
-84,22,0,1.03490
-84,23,0,0.91602
-84,24,0,0.95859
-84,25,0,0.98276
-84,26,0,0.97340
-84,27,0,0.93743
-84,28,0,0.97195
-84,29,0,0.84563
-84,30,0,1.00385
-84,31,0,0.87884
-84,32,0,0.90684
-84,33,0,0.93546
-84,34,0,0.93636
-84,35,0,0.90843
-84,36,0,0.86712
-84,37,0,0.91635
-84,38,0,0.93193
-84,39,0,0.91229
-84,40,0,0.92110
-84,41,0,1.20761
-84,42,0,1.04209
-84,43,0,1.38339
-84,44,0,0.98335
-84,45,0,1.09802
-84,46,0,0.94990
-84,47,0,0.95506
-84,48,0,1.01325
-84,49,0,0.86783
-84,50,0,0.84684
-84,51,0,0.86950
-84,52,0,0.92036
-84,53,0,0.83047
-84,54,0,0.88634
-84,55,0,0.99976
-84,56,0,0.90268
-84,57,0,0.99259
-84,58,0,0.85319
-84,59,0,0.94709
-84,60,0,0.87136
-84,61,0,0.97568
-84,62,0,1.04616
-84,63,0,0.98466
-84,64,0,1.02837
-84,65,0,0.79876
-84,66,0,0.85549
-84,67,0,0.88832
-84,68,0,0.92425
-84,69,0,0.86580
-84,70,0,1.02489
-84,71,0,0.81788
-84,72,0,0.82405
-84,73,0,0.93680
-84,74,0,0.86676
-84,75,0,0.89372
-84,76,0,0.84049
-84,77,0,0.88824
-84,78,0,0.93290
-84,79,0,0.82626
-84,80,0,0.79504
-84,81,0,0.88199
-84,82,0,0.92465
-84,83,0,0.92398
-84,84,0,0.98621
-84,85,0,1.01689
-84,86,0,0.86984
-84,87,0,0.95604
-84,88,0,0.91693
-84,89,0,1.00133
-84,90,0,1.02913
-84,91,0,1.05808
-84,92,0,0.96878
-84,93,0,1.02549
-84,94,0,0.81878
-84,95,0,0.91181
-84,96,0,0.99264
-84,97,0,0.97447
-84,98,0,0.85760
-84,99,0,0.89034
-84,100,0,0.89742
-84,101,0,0.91273
-84,102,0,0.79352
-84,103,0,0.88229
-84,104,0,0.86567
-84,105,0,0.90304
-84,106,0,0.93788
-84,107,0,0.90748
-84,108,0,0.87624
-84,109,0,0.83207
-84,110,0,0.93457
-84,111,0,0.86991
-84,112,0,0.85316
-84,113,0,0.88908
-84,114,0,0.91002
-84,115,0,0.88417
-84,116,0,0.93048
-84,117,0,0.84587
-84,118,0,0.86388
-84,119,0,0.76494
-84,120,0,1.00816
-84,121,0,1.20870
-84,122,0,1.09495
-84,123,0,0.94020
-84,124,0,1.09748
-84,125,0,1.11964
-84,126,0,1.08969
-84,127,0,1.03679
-84,128,0,1.23035
-84,129,0,1.20364
-84,130,0,1.15054
-84,131,0,0.96698
-84,132,0,0.92843
-84,133,0,0.97661
-84,134,0,0.98980
-84,135,0,0.97611
-84,136,0,1.00722
-84,137,0,1.01066
-84,138,0,1.08606
-84,139,0,1.07979
-84,140,0,0.99161
-84,141,0,0.98115
-84,142,0,1.02240
-84,143,0,1.11501
-84,144,0,1.06746
-84,145,0,1.05997
-84,146,0,1.19182
-84,147,0,1.09848
-84,148,0,1.06949
-84,149,0,1.04392
-84,150,0,1.06747
-84,151,0,1.10986
-84,152,0,1.09555
-84,153,0,1.16943
-84,154,0,1.03643
-84,155,0,1.03932
-84,156,0,1.01634
-84,157,0,1.21985
-84,158,0,1.03970
-84,159,0,1.03985
-84,160,0,1.15873
-84,161,0,1.16688
-84,162,0,1.12590
-84,163,0,1.23894
-84,164,0,0.98785
-84,165,0,1.06045
-84,166,0,1.06562
-84,167,0,1.08187
-84,168,0,2.07785
-84,169,0,0.95301
-84,170,0,1.13187
-84,171,0,1.09621
-84,172,0,1.07957
-84,173,0,1.12731
-84,174,0,1.21903
-84,175,0,1.11961
-84,176,0,1.26376
-84,177,0,1.06342
-84,178,0,1.08211
-84,179,0,1.11758
-84,180,0,1.03065
-84,181,0,1.26328
-84,182,0,1.18392
-84,183,0,1.11854
-84,184,0,1.30815
-84,185,0,1.16278
-84,186,0,1.42597
-84,187,0,1.30400
-84,188,0,1.16225
-84,189,0,1.26196
-84,190,0,1.30532
-84,191,0,1.00662
-84,192,0,1.00662
-84,193,0,1.00662
-84,194,0,1.00662
-84,195,0,1.00662
-84,196,0,1.24981
-84,197,0,1.14304
-84,198,0,1.41446
-84,199,0,1.21112
-84,200,0,1.44730
-84,201,0,0.78918
-84,202,0,0.96745
